name,latitude,longitude
metadata\meta-05S47SWtoOkd.json, 38 18 37.44 N, 104 38 21.48 W
metadata\meta-05txXffU6mrJ.json, 42 19 37.56 N, 83 2 51.36 W
metadata\meta-05v7R4v18xeQ.json, 35 57 34.56 N, 86 40 22.80 W
metadata\meta-05wJWPlwYEm2.json, 38 53 24.36 N, 77 0 37.80 W
metadata\meta-05wMl3sTpkx9.json, 33 33 38.52 N, 117 14 15.00 W
metadata\meta-05XkLskj1Ha2.json, 33 47 6.36 N, 84 30 43.92 W
metadata\meta-061FhmjxaNwX.json, 41 23 18.24 N, 72 52 46.92 W
metadata\meta-063r7o15H8Z5.json, 25 47 27.96 N, 80 8 41.64 W
metadata\meta-066czaSuosc4.json, 40 46 42.96 N, 73 56 35.88 W
metadata\meta-066HWUT84tQ9.json, 40 56 56.76 N, 72 57 41.40 W
metadata\meta-066lD91HF3YN.json, 28 11 47.40 N, 82 34 7.68 W
metadata\meta-068aPGcl3zOV.json, 26 31 46.20 N, 80 6 11.52 W
metadata\meta-068G3lz0hYBR.json, 36 16 46.20 N, 115 6 54.72 W
metadata\meta-06A0UvG70oqL.json, 39 58 12.72 N, 75 33 0.36 W
metadata\meta-06EHgy7rDmfE.json, 44 27 39.60 N, 123 3 4.68 W
metadata\meta-06gsG20Il8Gy.json, 40 35 4.16 N, 111 53 57.84 W
metadata\meta-06iu1l2C625c.json, 30 39 33.84 N, 97 27 10.80 W
metadata\meta-06l3EO3ERVv3.json, 38 53 43.08 N, 77 3 59.76 W
metadata\meta-06MhOBfq09l6.json, 52 36 7.20 N, 2 9 19.08 W
metadata\meta-06o7Ah7jARvp.json, 33 48 50.04 N, 117 32 43.08 W
metadata\meta-06QHPx15hXoT.json, 38 41 10.68 N, 90 25 13.08 W
metadata\meta-06xv5Kntz9vN.json, 8 54 19.44 N, 79 35 25.08 W
metadata\meta-06yQynPYcGUW.json, 36 16 46.20 N, 115 6 54.72 W
metadata\meta-06ziZaKZeaLT.json, 40 23 45.60 N, 81 24 22.68 W
metadata\meta-06zVuyrXFMJP.json, 44 57 24.12 N, 89 39 51.12 W
metadata\meta-06zw0r0qmDUg.json, 38 44 36.24 N, 77 17 39.48 W
metadata\meta-071B7wz3UhB4.json, 39 20 58.92 N, 97 28 14.88 W
metadata\meta-074M3mDHmtSF.json, 41 55 39.72 N, 12 29 16.44 E
metadata\meta-0751zB2RY0Es.json, 40 46 40.08 N, 79 57 7.20 W
metadata\meta-079oPs4xgOq1.json, 32 46 35.76 N, 96 47 50.64 W
metadata\meta-07ANKV08ihF1.json, 40 24 42.44 N, 111 53 25.04 W
metadata\meta-07budimXR6xn.json, 41 13 48.36 N, 76 59 51.00 W
metadata\meta-07ceTzqORyeY.json, 36 28 35.40 N, 95 0 37.08 W
metadata\meta-07cTNUr0B8DQ.json, 38 53 45.60 N, 77 1 51.24 W
metadata\meta-07fvF0ZFJUZw.json, 28 16 21.36 N, 82 36 36.00 W
metadata\meta-07GgcQ6GwBGA.json, 28 29 13.92 N, 82 29 12.84 W
metadata\meta-07MKp1GFAipD.json, 32 31 55.92 N, 97 19 32.52 W
metadata\meta-07NqRN7Iz9cd.json, 30 13 30.00 N, 92 3 4.68 W
metadata\meta-07oRhImCN9mV.json, 31 33 47.16 N, 97 11 43.80 W
metadata\meta-07pHesKy5L5F.json, 30 0 59.04 S, 51 10 57.72 W
metadata\meta-07Qi2jL3qydB.json, 38 50 14.28 N, 85 58 52.68 W
metadata\meta-07REaHFoBmul.json, 19 29 12.48 N, 99 10 53.76 W
metadata\meta-07rWp8UAhpHR.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-07tCjImDu2t0.json, 35 4 43.32 N, 80 38 22.56 W
metadata\meta-07VhUWbEo3I1.json, 41 13 44.76 S, 174 49 4.80 E
metadata\meta-07y1pVZCTB5H.json, 31 33 47.16 N, 97 11 43.44 W
metadata\meta-083npUZREE3g.json, 37 20 53.88 N, 93 28 30.72 W
metadata\meta-085aAc6GHSDd.json, 26 16 23.16 N, 81 41 19.68 W
metadata\meta-085KIvkD5Uln.json, 32 55 32.88 N, 96 48 36.36 W
metadata\meta-08dU8zJUtPb6.json, 40 53 23.64 N, 74 13 0.12 W
metadata\meta-08h3j2S0ndlY.json, 34 3 51.48 N, 118 21 30.24 W
metadata\meta-08IpomVxZCdo.json, 33 27 39.24 N, 94 1 48.00 W
metadata\meta-08llkbAsuYPl.json, 36 24 27.00 N, 87 0 54.00 W
metadata\meta-08ngc3zGKtVW.json, 28 37 1.20 N, 81 26 56.40 W
metadata\meta-08Pd77OPtYBh.json, 33 15 31.68 N, 111 51 21.60 W
metadata\meta-08Q1BlXXqgzE.json, 46 16 53.04 N, 119 11 26.52 W
metadata\meta-08sF8mt048kF.json, 39 56 43.80 N, 75 10 32.88 W
metadata\meta-08thLLcB1tpS.json, 42 55 27.48 N, 76 35 9.60 W
metadata\meta-08vE0hvJr16v.json, 28 14 35.88 N, 82 42 14.40 W
metadata\meta-08zmYIxQ1TR2.json, 32 35 53.52 N, 84 53 25.08 W
metadata\meta-092zWTIxYgK0.json, 38 53 44.52 N, 77 1 47.28 W
metadata\meta-0930GcICA5RA.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-094OyFk8o6rB.json, 43 12 57.60 N, 79 57 29.16 W
metadata\meta-09C3b6jYAfWK.json, 26 54 1.08 N, 80 3 55.08 W
metadata\meta-09CpD4Y2tPU8.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-09gDeiOL8E2I.json, 30 48 48.24 N, 97 36 20.52 W
metadata\meta-09HcM7V3C0al.json, 21 53 13.20 S, 45 35 36.96 W
metadata\meta-09hnCCsY2ihf.json, 33 26 59.64 N, 112 4 17.04 W
metadata\meta-09htjDSUWbMt.json, 50 48 28.08 N, 4 21 12.92 W
metadata\meta-09N6nhco5MpP.json, 26 14 45.96 N, 80 5 38.40 W
metadata\meta-09NcuqTAlaIL.json, 35 30 10.80 N, 81 58 55.56 W
metadata\meta-09nK23p62Lp6.json, 39 56 19.68 N, 75 13 49.08 W
metadata\meta-09Nubn5sUUjO.json, 33 30 2.16 N, 82 4 37.92 W
metadata\meta-09ovx8ZPDVMy.json, 26 14 46.32 N, 80 5 38.40 W
metadata\meta-09pTSsTaoydr.json, 26 9 30.20 N, 80 19 28.88 W
metadata\meta-09ROm6VU5K8i.json, 33 56 38.04 N, 78 5 57.84 W
metadata\meta-09SR39DKa1Rq.json, 39 53 12.84 N, 75 19 48.36 W
metadata\meta-09vpuIeOmIZH.json, 33 33 10.44 N, 117 40 14.88 W
metadata\meta-09XNAA3Rdy1q.json, 42 25 33.96 N, 83 24 23.04 W
metadata\meta-09Y0btKptOQ0.json, 35 50 53.52 N, 80 50 18.96 W
metadata\meta-09yZs12lvcCA.json, 38 53 26.16 N, 77 0 44.64 W
metadata\meta-0A3llW7V14x5.json, 32 47 20.04 N, 97 20 48.84 W
metadata\meta-0a745RcvWZmX.json, 36 17 22.20 N, 94 11 58.20 W
metadata\meta-0ABUPhkA2sN8.json, 42 59 29.40 N, 84 10 59.52 W
metadata\meta-0acblBApNbq9.json, 36 44 8.88 N, 75 56 24.00 W
metadata\meta-0ACso1I4yHeD.json, 38 55 28.20 N, 81 5 39.84 W
metadata\meta-0ad0bUpkiV4X.json, 43 18 19.44 N, 71 19 45.84 W
metadata\meta-0ADod4EnqtrP.json, 30 15 47.88 N, 81 23 14.64 W
metadata\meta-0aGXPat8FF55.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0AkJcUUkLVZA.json, 43 45 25.56 N, 70 59 19.68 W
metadata\meta-0anz3swVFOg7.json, 30 14 35.52 N, 93 5 3.48 W
metadata\meta-0apq3EMc6MrS.json, 35 16 12.72 N, 90 28 37.92 W
metadata\meta-0AtFVWVH57tx.json, 40 59 22.56 N, 73 57 33.84 W
metadata\meta-0aU5WsWOzts1.json, 33 53 56.76 N, 117 10 7.68 W
metadata\meta-0auWqb59D47U.json, 41 26 56.04 N, 96 3 30.96 W
metadata\meta-0av9cjzFpLP9.json, 39 36 45.36 N, 104 58 31.80 W
metadata\meta-0Axbjwi177E3.json, 52 20 54.24 N, 4 56 38.76 E
metadata\meta-0AY7DnMa89C6.json, 38 58 56.28 N, 78 3 33.12 W
metadata\meta-0AYdLuSEGt83.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0aYFUMPCUEYZ.json, 45 58 6.60 N, 91 30 52.20 W
metadata\meta-0aYGfyasNCDc.json, 40 44 24.36 N, 73 26 13.56 W
metadata\meta-0ayMq4oIH2db.json, 34 38 40.56 N, 112 26 0.24 W
metadata\meta-0b3IIUB5DKAS.json, 32 43 52.32 N, 117 7 36.12 W
metadata\meta-0b9rXCDZHiXN.json, 40 39 2.52 N, 73 57 14.76 W
metadata\meta-0bCE7qM6duvd.json, 29 10 30.00 N, 82 6 6.84 W
metadata\meta-0bFi6ymWMYHQ.json, 33 54 45.72 N, 118 14 21.48 W
metadata\meta-0BguGERa6rp7.json, 38 12 12.60 N, 85 46 21.72 W
metadata\meta-0BH5Ox53iDqX.json, 44 51 38.88 N, 93 15 54.36 W
metadata\meta-0bIJzIPnB1Kr.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0biUqtDf6Hel.json, 15 27 52.56 N, 87 58 16.68 W
metadata\meta-0BiVjsoqpyjb.json, 35 8 59.28 N, 114 31 59.88 W
metadata\meta-0BkRFBTAiRBO.json, 34 0 6.12 N, 84 17 13.92 W
metadata\meta-0BLV60R17fKI.json, 29 44 12.84 N, 98 6 18.00 W
metadata\meta-0Bm5fUAA0S2M.json, 36 9 54.72 N, 86 46 25.32 W
metadata\meta-0BOuCS6kpe5E.json, 33 42 38.52 N, 111 30 28.08 W
metadata\meta-0bpZGAxjTPO4.json, 38 43 26.76 N, 90 17 39.12 W
metadata\meta-0Brksd957Bw9.json, 44 6 3.60 N, 123 4 20.28 W
metadata\meta-0brqDFx0fBKJ.json, 38 56 29.40 N, 94 42 28.80 W
metadata\meta-0BSELbe8K8J1.json, 45 29 7.44 N, 73 35 9.24 W
metadata\meta-0Bv9hH2XCmpC.json, 40 7 41.52 N, 74 55 3.00 W
metadata\meta-0bXGJBxpVvuw.json, 40 0 31.32 N, 123 47 24.72 W
metadata\meta-0bys5530uHIu.json, 43 10 21.36 N, 78 40 35.40 W
metadata\meta-0BZU4kIJqIeN.json, 33 36 28.44 N, 117 7 32.16 W
metadata\meta-0c0kgsq0IZDP.json, 34 9 46.44 N, 84 23 16.80 W
metadata\meta-0C61yyzYyXFu.json, 33 22 33.96 N, 95 41 29.04 W
metadata\meta-0c77laWJOo5v.json, 37 36 58.32 N, 89 13 42.60 W
metadata\meta-0c7CVngEBxws.json, 40 6 59.76 N, 76 17 37.32 W
metadata\meta-0C7lf67msTXu.json, 39 56 24.36 N, 86 8 4.92 W
metadata\meta-0cB7IIoiW2F4.json, 25 48 16.56 S, 28 8 46.32 E
metadata\meta-0ccIqZ6I5yjL.json, 36 46 17.76 N, 90 47 52.80 W
metadata\meta-0CCmXdyELviV.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0cCw3cMwcfkx.json, 32 37 51.24 N, 116 58 58.80 W
metadata\meta-0CDvNlorij63.json, 32 22 1.20 N, 110 58 1.20 W
metadata\meta-0cE3h2MQ53Cx.json, 35 19 36.12 N, 97 0 30.24 W
metadata\meta-0CG01stJRSTd.json, 42 41 15.36 N, 88 2 41.28 W
metadata\meta-0CGj1H34ajfn.json, 35 50 35.16 N, 87 1 50.52 W
metadata\meta-0cjgWSU8tkFW.json, 33 21 20.16 N, 86 37 45.48 W
metadata\meta-0cL6skYB1vDu.json, 38 15 38.88 N, 92 45 58.68 W
metadata\meta-0clfM7hyPepC.json, 30 0 52.92 N, 95 7 8.40 W
metadata\meta-0Cm1BWrBpHCq.json, 34 7 55.56 N, 118 22 44.76 W
metadata\meta-0CnMjDB1fwts.json, 26 11 53.88 N, 80 6 53.28 W
metadata\meta-0cnryxdkxuad.json, 28 27 51.12 N, 81 27 8.28 W
metadata\meta-0coDU2fuAMdP.json, 40 33 42.48 N, 76 17 53.52 W
metadata\meta-0cPIamPRz2NB.json, 59 23 5.28 N, 17 2 25.80 E
metadata\meta-0cqDO161AtU3.json, 44 16 44.76 N, 85 24 28.44 W
metadata\meta-0ctejyMhM1ZI.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0cuA3CQSwC3V.json, 36 6 7.20 N, 115 10 12.00 W
metadata\meta-0cUvPhHIU0o9.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0CUwaxUQ8Uko.json, 35 52 9.12 N, 96 3 44.64 W
metadata\meta-0cuWiKISwZrM.json, 30 46 57.36 N, 83 16 16.68 W
metadata\meta-0cuxyqGsyf88.json, 33 36 35.28 N, 101 53 45.96 W
metadata\meta-0cVD6aXLr6uI.json, 30 16 22.08 N, 97 44 26.16 W
metadata\meta-0cvyF6esdGZ3.json, 33 37 43.32 N, 112 27 12.96 W
metadata\meta-0cWZVzt2kk2U.json, 36 4 4.80 N, 95 48 46.08 W
metadata\meta-0cz7iFvvaMhT.json, 38 36 28.44 N, 78 47 32.28 W
metadata\meta-0d0wIF6xNLMG.json, 30 59 19.32 N, 95 47 30.48 W
metadata\meta-0D3w7DjVgMON.json, 42 16 9.12 N, 71 13 28.92 W
metadata\meta-0d6xvM4dAiW4.json, 38 53 24.72 N, 77 0 35.28 W
metadata\meta-0D7up0yKLZ1j.json, 40 43 52.68 N, 141 21 55.08 E
metadata\meta-0d9F31NEQtW6.json, 40 19 10.92 N, 79 54 23.40 W
metadata\meta-0d9Gt6jhyABr.json, 41 19 30.00 N, 74 48 29.16 W
metadata\meta-0DaLyk65CTq0.json, 38 53 45.60 N, 77 2 48.84 W
metadata\meta-0DCuGD9WARVH.json, 38 53 25.44 N, 77 0 40.32 W
metadata\meta-0DdO26e4UfpW.json, 33 37 41.16 N, 84 1 42.96 W
metadata\meta-0dEfyJ8OLklm.json, 35 6 48.60 N, 80 47 26.16 W
metadata\meta-0dElyYATCks2.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0DeqqoZApS4j.json, 31 19 58.44 N, 110 56 56.40 W
metadata\meta-0df3zBQeBkgz.json, 29 15 21.24 N, 81 4 11.28 W
metadata\meta-0dFdCELytBju.json, 39 44 21.84 N, 104 59 7.44 W
metadata\meta-0dFr7uCcRwbK.json, 8 2 3.48 S, 34 54 31.32 W
metadata\meta-0dgHAIcYVTOE.json, 30 35 58.20 N, 87 10 47.64 W
metadata\meta-0dhfR60Kgw3b.json, 38 53 44.52 N, 77 1 46.20 W
metadata\meta-0DHiQ6k6TSk0.json, 26 4 3.00 N, 80 23 39.12 W
metadata\meta-0dHlbzeO1woT.json, 33 35 45.24 N, 112 15 9.00 W
metadata\meta-0dIfUj72DcER.json, 44 22 17.76 N, 86 0 47.52 W
metadata\meta-0dIk0KKvKPMk.json, 40 32 30.48 N, 74 12 57.60 W
metadata\meta-0dLKNQlX4dOf.json, 26 14 31.20 N, 80 15 45.00 W
metadata\meta-0DMHXO7yesmx.json, 30 28 15.24 N, 90 9 20.52 W
metadata\meta-0Dn2PWHY4DO2.json, 35 57 8.28 N, 84 10 0.84 W
metadata\meta-0dOTq6cTiWvK.json, 26 24 2.52 N, 80 6 33.84 W
metadata\meta-0DotRokKo2f5.json, 38 53 2.76 N, 77 10 25.68 W
metadata\meta-0DpK7INlGImD.json, 30 11 13.92 N, 95 32 45.24 W
metadata\meta-0drxASPdgzVV.json, 43 9 57.24 N, 86 14 9.96 W
metadata\meta-0dt6k7JhG6aG.json, 35 48 57.60 N, 81 21 17.64 W
metadata\meta-0duHRYsJsI8p.json, 44 27 34.92 N, 110 49 39.36 W
metadata\meta-0duRFfUyh1LC.json, 26 11 31.56 N, 98 14 2.04 W
metadata\meta-0dVlsBM9fGFY.json, 42 2 36.60 N, 88 17 54.96 W
metadata\meta-0dvpWMGmsNZD.json, 40 32 11.40 N, 89 20 32.64 W
metadata\meta-0dWC6C9whUOH.json, 39 42 59.76 N, 75 35 59.28 W
metadata\meta-0DwGFNn6QuiR.json, 38 54 20.52 N, 77 2 29.76 W
metadata\meta-0DYZm07N3C0Y.json, 26 51 6.48 N, 80 3 55.80 W
metadata\meta-0e1ux2t2pOcp.json, 38 40 53.76 N, 77 26 32.64 W
metadata\meta-0E4t57GE66m0.json, 30 22 42.24 N, 86 51 48.24 W
metadata\meta-0e5JYQReouQg.json, 34 49 36.48 N, 82 32 7.44 W
metadata\meta-0Ea5QXbUFYXj.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0EbRQKVNObxY.json, 36 52 18.84 N, 94 46 11.64 W
metadata\meta-0Ec4005wCO5r.json, 34 14 13.56 N, 83 49 10.92 W
metadata\meta-0efkHmGZq6vo.json, 40 19 11.28 N, 79 54 23.76 W
metadata\meta-0eFrjgFiaXCd.json, 27 1 48.36 N, 82 1 51.60 W
metadata\meta-0EG7IUYy1Vs5.json, 38 53 31.20 N, 77 0 23.76 W
metadata\meta-0eIUvx2gnkAP.json, 38 12 26.64 N, 85 14 20.04 W
metadata\meta-0EOLrFdsmRGL.json, 40 54 12.96 N, 117 49 59.52 W
metadata\meta-0EpFV6wUe149.json, 40 41 46.32 N, 73 36 3.96 W
metadata\meta-0epmcyPGy5aS.json, 33 28 24.24 N, 112 9 6.48 W
metadata\meta-0Eq5XEnFlLps.json, 36 5 9.60 N, 95 46 22.44 W
metadata\meta-0EROv0Ga0n6z.json, 39 20 25.44 N, 78 1 33.60 W
metadata\meta-0eS2XGzRaW5b.json, 40 49 9.48 N, 74 12 59.40 W
metadata\meta-0eXkv3r58Qt1.json, 39 14 51.36 N, 80 18 21.24 W
metadata\meta-0EzClnhSi6MP.json, 40 24 42.44 N, 111 53 25.04 W
metadata\meta-0F0Z6YmB1vsI.json, 37 30 53.28 N, 77 34 46.92 W
metadata\meta-0F1mihWlMM25.json, 34 45 43.56 N, 82 22 42.24 W
metadata\meta-0F2miAWEumZk.json, 53 22 2.28 N, 6 20 36.24 W
metadata\meta-0F2oE8aW20G5.json, 35 59 15.72 N, 114 58 52.32 W
metadata\meta-0f3UGhRiNQlm.json, 30 16 21.72 N, 97 44 28.32 W
metadata\meta-0f4Y4FUTX8xT.json, 33 20 32.28 N, 84 38 13.56 W
metadata\meta-0f5cgWU80K7D.json, 33 50 47.76 N, 117 33 11.16 W
metadata\meta-0F5F8LCdv1YQ.json, 0 0 0.00 N, 0 0 0.00 E
metadata\meta-0F6q1PDudQFe.json, 38 53 43.76 N, 77 1 52.28 W
metadata\meta-0F95JqrzA4on.json, 21 20 4.56 N, 158 5 13.56 W
metadata\meta-0fAbqyIwCBF2.json, 28 37 2.28 N, 81 26 56.04 W
